deso,kommun,lan,kommunnamn,lannamn,2_doser,minst_1_dos
1490C1550,1490,14,Borås,Västra Götaland,0.7,0.87
1480C3890,1480,14,Göteborg,Västra Götaland,0.27,0.44
1480C3740,1480,14,Göteborg,Västra Götaland,0.7,0.88
1480C3830,1480,14,Göteborg,Västra Götaland,0.44,0.61
1490C1540,1490,14,Borås,Västra Götaland,0.7,0.86
1490A0060,1490,14,Borås,Västra Götaland,0.68,0.83
0680C1500,0680,06,Jönköping,Jönköping,0.71,0.86
1480C3840,1480,14,Göteborg,Västra Götaland,0.6,0.8
0680C1530,0680,06,Jönköping,Jönköping,0.68,0.82
1441C1130,1441,14,Lerum,Västra Götaland,0.66,0.84
1480C3780,1480,14,Göteborg,Västra Götaland,0.62,0.81
1286C1060,1286,12,Ystad,Skåne,0.74,0.85
1480C3800,1480,14,Göteborg,Västra Götaland,0.56,0.76
1480C3790,1480,14,Göteborg,Västra Götaland,0.5,0.67
0512C1010,0512,05,Ydre,Östergötland,0.82,0.87
1490C1560,1490,14,Borås,Västra Götaland,0.7,0.84
1286C1070,1286,12,Ystad,Skåne,0.79,0.88
1441C1120,1441,14,Lerum,Västra Götaland,0.58,0.79
1480C3880,1480,14,Göteborg,Västra Götaland,0.44,0.61
1280C1690,1280,12,Malmö,Skåne,0.28,0.41
1480C3900,1480,14,Göteborg,Västra Götaland,0.32,0.49
1441C1150,1441,14,Lerum,Västra Götaland,0.7,0.88
1480C3940,1480,14,Göteborg,Västra Götaland,0.23,0.36
0687C1050,0687,06,Tranås,Jönköping,0.69,0.82
0604C1010,0604,06,Aneby,Jönköping,0.72,0.81
1280C1630,1280,12,Malmö,Skåne,0.74,0.83
1280C1750,1280,12,Malmö,Skåne,0.3,0.41
1082C1140,1082,10,Karlshamn,Blekinge,0.78,0.87
1480C3910,1480,14,Göteborg,Västra Götaland,0.44,0.6
1441C1140,1441,14,Lerum,Västra Götaland,0.68,0.87
1480C3930,1480,14,Göteborg,Västra Götaland,0.25,0.41
1480C3950,1480,14,Göteborg,Västra Götaland,0.28,0.43
0191C1090,0191,01,Sigtuna,Stockholm,0.53,0.68
1490C1570,1490,14,Borås,Västra Götaland,0.74,0.88
1440B2020,1440,14,Ale,Västra Götaland,0.52,0.73
1480C3920,1480,14,Göteborg,Västra Götaland,0.59,0.82
1480C3960,1480,14,Göteborg,Västra Götaland,0.33,0.52
1480C3990,1480,14,Göteborg,Västra Götaland,0.27,0.47
0884A0030,0884,08,Vimmerby,Kalmar,0.74,0.82
1482A0010,1482,14,Kungälv,Västra Götaland,0.61,0.81
1280C1640,1280,12,Malmö,Skåne,0.81,0.88
1441B3010,1441,14,Lerum,Västra Götaland,0.67,0.84
1440B2010,1440,14,Ale,Västra Götaland,0.53,0.73
0604C1020,0604,06,Aneby,Jönköping,0.78,0.85
0883A0020,0883,08,Västervik,Kalmar,0.82,0.88
1480C3970,1480,14,Göteborg,Västra Götaland,0.37,0.52
1480C3980,1480,14,Göteborg,Västra Götaland,0.67,0.86
0680A0040,0680,06,Jönköping,Jönköping,0.69,0.82
1441C1160,1441,14,Lerum,Västra Götaland,0.68,0.89
1441C1170,1441,14,Lerum,Västra Götaland,0.64,0.83
0680C1560,0680,06,Jönköping,Jönköping,0.81,0.9
1490C1580,1490,14,Borås,Västra Götaland,0.73,0.86
0680C1550,0680,06,Jönköping,Jönköping,0.76,0.89
0680C1540,0680,06,Jönköping,Jönköping,0.8,0.89
1482C1050,1482,14,Kungälv,Västra Götaland,0.68,0.86
1441B2010,1441,14,Lerum,Västra Götaland,0.62,0.83
1441B2020,1441,14,Lerum,Västra Götaland,0.7,0.87
1480A0030,1480,14,Göteborg,Västra Götaland,0.61,0.79
0680A0050,0680,06,Jönköping,Jönköping,0.75,0.87
1441B2030,1441,14,Lerum,Västra Götaland,0.57,0.77
1280C1520,1280,12,Malmö,Skåne,0.52,0.62
0680C1580,0680,06,Jönköping,Jönköping,0.73,0.83
1443A0030,1443,14,Bollebygd,Västra Götaland,0.62,0.8
1440B2030,1440,14,Ale,Västra Götaland,0.56,0.78
1490A0080,1490,14,Borås,Västra Götaland,0.7,0.86
1489B2010,1489,14,Alingsås,Västra Götaland,0.66,0.86
1490A0090,1490,14,Borås,Västra Götaland,0.65,0.82
1480A0040,1480,14,Göteborg,Västra Götaland,0.56,0.75
1480A0050,1480,14,Göteborg,Västra Götaland,0.59,0.78
1489A0010,1489,14,Alingsås,Västra Götaland,0.68,0.82
1280C1760,1280,12,Malmö,Skåne,0.36,0.45
1440B2040,1440,14,Ale,Västra Götaland,0.51,0.74
0643C1010,0643,06,Habo,Jönköping,0.78,0.88
1482C1010,1482,14,Kungälv,Västra Götaland,0.69,0.89
1482C1030,1482,14,Kungälv,Västra Götaland,0.74,0.89
0980A0160,0980,09,Gotland,Gotland,0.66,0.84
1482C1070,1482,14,Kungälv,Västra Götaland,0.52,0.72
1482C1060,1482,14,Kungälv,Västra Götaland,0.47,0.69
1280C1880,1280,12,Malmö,Skåne,0.25,0.36
1482C1020,1482,14,Kungälv,Västra Götaland,0.61,0.81
0883B2020,0883,08,Västervik,Kalmar,0.75,0.84
0643C1020,0643,06,Habo,Jönköping,0.73,0.86
1482C1100,1482,14,Kungälv,Västra Götaland,0.71,0.85
1482C1090,1482,14,Kungälv,Västra Götaland,0.53,0.77
0125C1080,0125,01,Ekerö,Stockholm,0.72,0.84
1482C1080,1482,14,Kungälv,Västra Götaland,0.58,0.79
1441B2040,1441,14,Lerum,Västra Götaland,0.62,0.82
0643C1030,0643,06,Habo,Jönköping,0.78,0.89
1491A0040,1491,14,Ulricehamn,Västra Götaland,0.69,0.83
1440C1010,1440,14,Ale,Västra Götaland,0.69,0.86
0643C1040,0643,06,Habo,Jönköping,0.7,0.83
1482C1120,1482,14,Kungälv,Västra Götaland,0.7,0.87
0883B2010,0883,08,Västervik,Kalmar,0.72,0.81
0180C5980,0180,01,Stockholm,Stockholm,0.37,0.49
0180C6050,0180,01,Stockholm,Stockholm,0.76,0.87
0643C1050,0643,06,Habo,Jönköping,0.75,0.87
1482C1140,1482,14,Kungälv,Västra Götaland,0.66,0.85
1280C1860,1280,12,Malmö,Skåne,0.67,0.81
1482C1130,1482,14,Kungälv,Västra Götaland,0.64,0.86
1489C1080,1489,14,Alingsås,Västra Götaland,0.62,0.8
1440C1050,1440,14,Ale,Västra Götaland,0.57,0.77
1280C1900,1280,12,Malmö,Skåne,0.75,0.84
1482C1150,1482,14,Kungälv,Västra Götaland,0.6,0.81
2080C1130,2080,20,Falun,Dalarna,0.76,0.89
2080C1210,2080,20,Falun,Dalarna,0.63,0.8
2080C1240,2080,20,Falun,Dalarna,0.55,0.74
1280C1930,1280,12,Malmö,Skåne,0.41,0.53
1489B2020,1489,14,Alingsås,Västra Götaland,0.72,0.86
0680A0070,0680,06,Jönköping,Jönköping,0.72,0.85
1440C1020,1440,14,Ale,Västra Götaland,0.67,0.85
1440C1030,1440,14,Ale,Västra Götaland,0.49,0.67
0642C1010,0642,06,Mullsjö,Jönköping,0.7,0.81
0123C1300,0123,01,Järfälla,Stockholm,0.7,0.8
1280C1850,1280,12,Malmö,Skåne,0.75,0.83
0642C1030,0642,06,Mullsjö,Jönköping,0.67,0.81
0642C1020,0642,06,Mullsjö,Jönköping,0.75,0.86
1280C2680,1280,12,Malmö,Skåne,0.7,0.81
1489C1010,1489,14,Alingsås,Västra Götaland,0.72,0.85
1491A0030,1491,14,Ulricehamn,Västra Götaland,0.64,0.77
1489C1030,1489,14,Alingsås,Västra Götaland,0.8,0.92
1489C1100,1489,14,Alingsås,Västra Götaland,0.62,0.76
1482C1160,1482,14,Kungälv,Västra Götaland,0.64,0.86
1482A0040,1482,14,Kungälv,Västra Götaland,0.61,0.82
1482B2020,1482,14,Kungälv,Västra Götaland,0.66,0.84
0512A0010,0512,05,Ydre,Östergötland,0.8,0.88
1280C2600,1280,12,Malmö,Skåne,0.67,0.78
1280C2750,1280,12,Malmö,Skåne,0.54,0.71
1482B4010,1482,14,Kungälv,Västra Götaland,0.78,0.91
1440C1040,1440,14,Ale,Västra Götaland,0.65,0.82
1482B2010,1482,14,Kungälv,Västra Götaland,0.68,0.88
0180C4950,0180,01,Stockholm,Stockholm,0.6,0.75
1883C1150,1883,18,Karlskoga,Örebro,0.86,0.9
1489C1020,1489,14,Alingsås,Västra Götaland,0.68,0.84
0604A0010,0604,06,Aneby,Jönköping,0.74,0.82
1491B2010,1491,14,Ulricehamn,Västra Götaland,0.65,0.79
2482C1240,2482,24,Skellefteå,Västerbotten,0.61,0.87
2482C1250,2482,24,Skellefteå,Västerbotten,0.59,0.89
0180C5110,0180,01,Stockholm,Stockholm,0.73,0.89
0180C5060,0180,01,Stockholm,Stockholm,0.72,0.88
0180C5090,0180,01,Stockholm,Stockholm,0.76,0.88
1441B4010,1441,14,Lerum,Västra Götaland,0.54,0.73
1489C1050,1489,14,Alingsås,Västra Götaland,0.63,0.83
0180C4990,0180,01,Stockholm,Stockholm,0.74,0.86
1280C2780,1280,12,Malmö,Skåne,0.59,0.74
1489C1040,1489,14,Alingsås,Västra Götaland,0.65,0.85
1489C1060,1489,14,Alingsås,Västra Götaland,0.74,0.86
1490A0100,1490,14,Borås,Västra Götaland,0.7,0.84
1280C2800,1280,12,Malmö,Skåne,0.65,0.8
1489C1070,1489,14,Alingsås,Västra Götaland,0.55,0.72
1489C1120,1489,14,Alingsås,Västra Götaland,0.75,0.89
1489C1130,1489,14,Alingsås,Västra Götaland,0.78,0.89
1440C1060,1440,14,Ale,Västra Götaland,0.65,0.82
1489C1150,1489,14,Alingsås,Västra Götaland,0.75,0.89
1482A0050,1482,14,Kungälv,Västra Götaland,0.6,0.78
0883A0030,0883,08,Västervik,Kalmar,0.78,0.85
0643A0010,0643,06,Habo,Jönköping,0.67,0.82
0680A0080,0680,06,Jönköping,Jönköping,0.73,0.88
0980A0170,0980,09,Gotland,Gotland,0.69,0.83
0380C1150,0380,03,Uppsala,Uppsala,0.55,0.69
1440C1070,1440,14,Ale,Västra Götaland,0.6,0.83
1491A0050,1491,14,Ulricehamn,Västra Götaland,0.7,0.81
1482B3010,1482,14,Kungälv,Västra Götaland,0.65,0.85
0687C1020,0687,06,Tranås,Jönköping,0.71,0.81
0680B4010,0680,06,Jönköping,Jönköping,0.78,0.87
0186C1080,0186,01,Lidingö,Stockholm,0.68,0.83
0513C1030,0513,05,Kinda,Östergötland,0.8,0.9
1441A0010,1441,14,Lerum,Västra Götaland,0.62,0.79
1482B2030,1482,14,Kungälv,Västra Götaland,0.62,0.82
1440C1080,1440,14,Ale,Västra Götaland,0.66,0.86
0513C1010,0513,05,Kinda,Östergötland,0.75,0.85
1489A0020,1489,14,Alingsås,Västra Götaland,0.63,0.8
1419C1010,1419,14,Tjörn,Västra Götaland,0.74,0.89
0604A0020,0604,06,Aneby,Jönköping,0.75,0.83
1440A0010,1440,14,Ale,Västra Götaland,0.61,0.79
1440C1090,1440,14,Ale,Västra Götaland,0.68,0.84
1482A0070,1482,14,Kungälv,Västra Götaland,0.58,0.8
0484C1370,0484,04,Eskilstuna,Södermanland,0.41,0.59
1780C1140,1780,17,Karlstad,Värmland,0.7,0.88
0513C1020,0513,05,Kinda,Östergötland,0.69,0.8
0883B4010,0883,08,Västervik,Kalmar,0.75,0.84
1482B2040,1482,14,Kungälv,Västra Götaland,0.71,0.87
1466B2010,1466,14,Herrljunga,Västra Götaland,0.61,0.77
1419C1020,1419,14,Tjörn,Västra Götaland,0.77,0.9
1491A0060,1491,14,Ulricehamn,Västra Götaland,0.66,0.79
