lan,kommun,deso,lannamn,kommunnamn,regso,age,minst_1_dos,2_doser
20,2081,2081C1130,Dalarna,Borlänge,Kupolen-Norra Backa-Hagalund-Ringen,18-64,70-80,50-60
20,2081,2081C1130,Dalarna,Borlänge,Kupolen-Norra Backa-Hagalund-Ringen,65+,90-100,90-100
20,2081,2081C1150,Dalarna,Borlänge,Södra Bullermyren-Norra Hagalund,18-64,60-70,40-50
20,2081,2081C1150,Dalarna,Borlänge,Södra Bullermyren-Norra Hagalund,65+,80-90,80-90
20,2081,2081C1180,Dalarna,Borlänge,Bulllermyren,18-64,60-70,40-50
20,2081,2081C1180,Dalarna,Borlänge,Bulllermyren,65+,90-100,90-100
20,2081,2081C1160,Dalarna,Borlänge,Forssa,18-64,80-90,60-70
20,2081,2081C1160,Dalarna,Borlänge,Forssa,65+,90-100,90-100
08,0885,0885C1010,Kalmar,Borgholm,Borgholm-Köpingsvik,18-64,80-90,60-70
08,0885,0885C1010,Kalmar,Borgholm,Borgholm-Köpingsvik,65+,90-100,90-100
08,0885,0885A0020,Kalmar,Borgholm,Borgholm södra kommundelen,18-64,70-80,60-70
08,0885,0885A0020,Kalmar,Borgholm,Borgholm södra kommundelen,65+,90-100,90-100
07,0780,0780C1280,Kronoberg,Växjö,Araby-Dalbo-Nydala,18-64,50-60,20-30
07,0780,0780C1280,Kronoberg,Växjö,Araby-Dalbo-Nydala,65+,60-70,50-60
07,0764,0764C1010,Kronoberg,Alvesta,Alvesta sydost,18-64,80-90,50-60
07,0764,0764C1010,Kronoberg,Alvesta,Alvesta sydost,65+,90-100,90-100
07,0780,0780C1250,Kronoberg,Växjö,Kungsmad-Pilbäcken,18-64,60-70,30-40
07,0780,0780C1250,Kronoberg,Växjö,Kungsmad-Pilbäcken,65+,80-90,80-90
07,0761,0761A0010,Kronoberg,Lessebo,Lessebo omland,18-64,70-80,60-70
07,0761,0761A0010,Kronoberg,Lessebo,Lessebo omland,65+,90-100,80-90
07,0764,0764A0030,Kronoberg,Alvesta,Blädinge,18-64,70-80,50-60
07,0764,0764A0030,Kronoberg,Alvesta,Blädinge,65+,90-100,90-100
07,0780,0780C1260,Kronoberg,Växjö,Hov-Norr,18-64,80-90,60-70
07,0780,0780C1260,Kronoberg,Växjö,Hov-Norr,65+,90-100,90-100
07,0780,0780C1220,Kronoberg,Växjö,Gamla norr-Fagrabäck,18-64,70-80,40-50
07,0780,0780C1220,Kronoberg,Växjö,Gamla norr-Fagrabäck,65+,90-100,90-100
08,0885,0885C1020,Kalmar,Borgholm,Borgholm-Köpingsvik,18-64,80-90,60-70
08,0885,0885C1020,Kalmar,Borgholm,Borgholm-Köpingsvik,65+,90-100,90-100
07,0764,0764C1020,Kronoberg,Alvesta,Alvesta södra,18-64,60-70,40-50
07,0764,0764C1020,Kronoberg,Alvesta,Alvesta södra,65+,90-100,80-90
07,0780,0780C1290,Kronoberg,Växjö,Hovshaga,18-64,80-90,60-70
07,0780,0780C1290,Kronoberg,Växjö,Hovshaga,65+,90-100,90-100
07,0780,0780C1270,Kronoberg,Växjö,Hov-Norr,18-64,80-90,60-70
07,0780,0780C1270,Kronoberg,Växjö,Hov-Norr,65+,90-100,90-100
07,0780,0780C1300,Kronoberg,Växjö,Hovshaga,18-64,70-80,50-60
07,0780,0780C1300,Kronoberg,Växjö,Hovshaga,65+,90-100,90-100
13,1382,1382C1010,Halland,Falkenberg,Falkenberg södra,18-64,80-90,70-80
13,1382,1382C1010,Halland,Falkenberg,Falkenberg södra,65+,90-100,90-100
07,0780,0780C1320,Kronoberg,Växjö,Sandsbro,18-64,80-90,60-70
07,0780,0780C1320,Kronoberg,Växjö,Sandsbro,65+,90-100,90-100
01,0180,0180C4600,Stockholm,Stockholm,Östra Sankt Göran,18-64,80-90,60-70
01,0180,0180C4600,Stockholm,Stockholm,Östra Sankt Göran,65+,90-100,90-100
01,0180,0180C4390,Stockholm,Stockholm,Oscars kyrka,18-64,80-90,60-70
01,0180,0180C4390,Stockholm,Stockholm,Oscars kyrka,65+,90-100,90-100
01,0182,0182C1480,Stockholm,Nacka,Orminge,18-64,70-80,60-70
01,0182,0182C1480,Stockholm,Nacka,Orminge,65+,90-100,90-100
07,0764,0764C1030,Kronoberg,Alvesta,Alvesta västra,18-64,60-70,40-50
07,0764,0764C1030,Kronoberg,Alvesta,Alvesta västra,65+,90-100,80-90
01,0182,0182C1460,Stockholm,Nacka,Ektorp-Skuru,18-64,80-90,70-80
01,0182,0182C1460,Stockholm,Nacka,Ektorp-Skuru,65+,90-100,90-100
01,0180,0180C4870,Stockholm,Stockholm,Engelbrekts kyrka,18-64,80-90,60-70
01,0180,0180C4870,Stockholm,Stockholm,Engelbrekts kyrka,65+,90-100,80-90
07,0764,0764C1040,Kronoberg,Alvesta,Alvesta centrum,18-64,50-60,30-40
07,0764,0764C1040,Kronoberg,Alvesta,Alvesta centrum,65+,80-90,80-90
07,0781,0781A0020,Kronoberg,Ljungby,Lidhult-Odensjö-Torpa,18-64,70-80,50-60
07,0781,0781A0020,Kronoberg,Ljungby,Lidhult-Odensjö-Torpa,65+,90-100,90-100
07,0780,0780C1330,Kronoberg,Växjö,Östra Lugnet-Evedal,18-64,80-90,50-60
07,0780,0780C1330,Kronoberg,Växjö,Östra Lugnet-Evedal,65+,90-100,80-90
13,1382,1382C1030,Halland,Falkenberg,Falkenberg södra,18-64,80-90,60-70
13,1382,1382C1030,Halland,Falkenberg,Falkenberg södra,65+,90-100,90-100
23,2380,2380C1220,Jämtland,Östersund,Östersund staden,18-64,70-80,50-60
23,2380,2380C1220,Jämtland,Östersund,Östersund staden,65+,90-100,90-100
13,1382,1382C1040,Halland,Falkenberg,Västra gärdet,18-64,70-80,60-70
13,1382,1382C1040,Halland,Falkenberg,Västra gärdet,65+,90-100,80-90
08,0881,0881A0030,Kalmar,Nybro,Hälleberga-Kristvalla,18-64,70-80,60-70
08,0881,0881A0030,Kalmar,Nybro,Hälleberga-Kristvalla,65+,90-100,90-100
07,0780,0780A0030,Kronoberg,Växjö,Stadsnära landsbygd,18-64,80-90,50-60
07,0780,0780A0030,Kronoberg,Växjö,Stadsnära landsbygd,65+,90-100,90-100
07,0764,0764C1050,Kronoberg,Alvesta,Alvesta nordost,18-64,80-90,50-60
07,0764,0764C1050,Kronoberg,Alvesta,Alvesta nordost,65+,90-100,90-100
13,1382,1382C1050,Halland,Falkenberg,Falkenberg södra,18-64,80-90,70-80
13,1382,1382C1050,Halland,Falkenberg,Falkenberg södra,65+,90-100,90-100
07,0780,0780C1310,Kronoberg,Växjö,Öjaby-Räppe,18-64,80-90,60-70
07,0780,0780C1310,Kronoberg,Växjö,Öjaby-Räppe,65+,90-100,90-100
07,0780,0780A0040,Kronoberg,Växjö,Stadsnära landsbygd,18-64,80-90,50-60
07,0780,0780A0040,Kronoberg,Växjö,Stadsnära landsbygd,65+,90-100,90-100
01,0180,0180C3340,Stockholm,Stockholm,Östra Katarina,18-64,80-90,60-70
01,0180,0180C3340,Stockholm,Stockholm,Östra Katarina,65+,80-90,80-90
01,0180,0180C3200,Stockholm,Stockholm,Södra Sofia,18-64,80-90,60-70
01,0180,0180C3200,Stockholm,Stockholm,Södra Sofia,65+,90-100,80-90
01,0180,0180C3350,Stockholm,Stockholm,Södra Station,18-64,80-90,70-80
01,0180,0180C3350,Stockholm,Stockholm,Södra Station,65+,90-100,90-100
01,0180,0180C3220,Stockholm,Stockholm,Gröndal,18-64,90-100,70-80
01,0180,0180C3220,Stockholm,Stockholm,Gröndal,65+,90-100,90-100
01,0182,0182C1260,Stockholm,Nacka,Kvarnholmen-Henriksdal,18-64,70-80,50-60
01,0182,0182C1260,Stockholm,Nacka,Kvarnholmen-Henriksdal,65+,80-90,70-80
07,0780,0780C1340,Kronoberg,Växjö,Hovshaga,18-64,80-90,60-70
07,0780,0780C1340,Kronoberg,Växjö,Hovshaga,65+,90-100,90-100
01,0187,0187C1040,Stockholm,Vaxholm,Edholma-Kullö,18-64,90-100,80-90
01,0187,0187C1040,Stockholm,Vaxholm,Edholma-Kullö,65+,90-100,90-100
04,0484,0484B2010,Södermanland,Eskilstuna,Kvicksund-Tumbo,18-64,80-90,70-80
04,0484,0484B2010,Södermanland,Eskilstuna,Kvicksund-Tumbo,65+,90-100,90-100
01,0125,0125A0020,Stockholm,Ekerö,Adelsö-Munsö-Västra Ekerön,18-64,70-80,50-60
01,0125,0125A0020,Stockholm,Ekerö,Adelsö-Munsö-Västra Ekerön,65+,90-100,90-100
13,1382,1382C1090,Halland,Falkenberg,Tröingeberg-Fajans,18-64,80-90,70-80
13,1382,1382C1090,Halland,Falkenberg,Tröingeberg-Fajans,65+,90-100,90-100
08,0885,0885C1030,Kalmar,Borgholm,Borgholm-Köpingsvik,18-64,80-90,60-70
08,0885,0885C1030,Kalmar,Borgholm,Borgholm-Köpingsvik,65+,90-100,90-100
07,0780,0780C1350,Kronoberg,Växjö,Sandsbro,18-64,80-90,60-70
07,0780,0780C1350,Kronoberg,Växjö,Sandsbro,65+,90-100,90-100
08,0880,0880A0070,Kalmar,Kalmar,Kalmar norra kommundelen,18-64,80-90,70-80
08,0880,0880A0070,Kalmar,Kalmar,Kalmar norra kommundelen,65+,90-100,90-100
08,0861,0861A0010,Kalmar,Mönsterås,Ålem omland,18-64,80-90,60-70
08,0861,0861A0010,Kalmar,Mönsterås,Ålem omland,65+,90-100,90-100
13,1383,1383C1130,Halland,Varberg,Öster-Karlberg,18-64,80-90,60-70
13,1383,1383C1130,Halland,Varberg,Öster-Karlberg,65+,90-100,90-100
13,1383,1383C1120,Halland,Varberg,Varberg söder,18-64,80-90,60-70
13,1383,1383C1120,Halland,Varberg,Varberg söder,65+,90-100,90-100
13,1382,1382C1060,Halland,Falkenberg,Falkenberg södra,18-64,70-80,50-60
13,1382,1382C1060,Halland,Falkenberg,Falkenberg södra,65+,90-100,90-100
13,1382,1382C1020,Halland,Falkenberg,Skrea,18-64,80-90,70-80
13,1382,1382C1020,Halland,Falkenberg,Skrea,65+,90-100,90-100
13,1382,1382C1070,Halland,Falkenberg,Falkenberg centrum,18-64,70-80,50-60
13,1382,1382C1070,Halland,Falkenberg,Falkenberg centrum,65+,90-100,90-100
07,0781,0781B2010,Kronoberg,Ljungby,Lagan,18-64,70-80,50-60
07,0781,0781B2010,Kronoberg,Ljungby,Lagan,65+,90-100,90-100
13,1382,1382C1100,Halland,Falkenberg,Falkenberg centrum,18-64,70-80,60-70
13,1382,1382C1100,Halland,Falkenberg,Falkenberg centrum,65+,90-100,90-100
13,1382,1382C1080,Halland,Falkenberg,Västra gärdet,18-64,70-80,60-70
13,1382,1382C1080,Halland,Falkenberg,Västra gärdet,65+,90-100,90-100
13,1382,1382C1130,Halland,Falkenberg,Skogstorp,18-64,70-80,60-70
13,1382,1382C1130,Halland,Falkenberg,Skogstorp,65+,90-100,90-100
13,1382,1382C1120,Halland,Falkenberg,Stafsinge-Gruebäcken,18-64,60-70,40-50
13,1382,1382C1120,Halland,Falkenberg,Stafsinge-Gruebäcken,65+,80-90,80-90
13,1382,1382C1140,Halland,Falkenberg,Stafsinge-Gruebäcken,18-64,60-70,40-50
13,1382,1382C1140,Halland,Falkenberg,Stafsinge-Gruebäcken,65+,90-100,90-100
13,1382,1382C1110,Halland,Falkenberg,Skogstorp,18-64,80-90,60-70
13,1382,1382C1110,Halland,Falkenberg,Skogstorp,65+,90-100,90-100
13,1380,1380A0070,Halland,Halmstad,Skavböke-Slättåkra-Åled,18-64,80-90,60-70
13,1380,1380A0070,Halland,Halmstad,Skavböke-Slättåkra-Åled,65+,90-100,90-100
07,0780,0780C1360,Kronoberg,Växjö,Östra Lugnet-Evedal,18-64,80-90,60-70
07,0780,0780C1360,Kronoberg,Växjö,Östra Lugnet-Evedal,65+,90-100,90-100
13,1382,1382C1150,Halland,Falkenberg,Tröingeberg-Fajans,18-64,80-90,60-70
13,1382,1382C1150,Halland,Falkenberg,Tröingeberg-Fajans,65+,90-100,90-100
07,0781,0781A0030,Kronoberg,Ljungby,Ryssby-Agunnaryd,18-64,70-80,50-60
07,0781,0781A0030,Kronoberg,Ljungby,Ryssby-Agunnaryd,65+,90-100,90-100
13,1382,1382A0010,Halland,Falkenberg,Falkenbergs södra kustområde,18-64,80-90,60-70
13,1382,1382A0010,Halland,Falkenberg,Falkenbergs södra kustområde,65+,90-100,90-100
07,0780,0780B2020,Kronoberg,Växjö,Rottne,18-64,70-80,40-50
07,0780,0780B2020,Kronoberg,Växjö,Rottne,65+,90-100,90-100
13,1315,1315C1020,Halland,Hylte,Hyltebruk norra,18-64,60-70,40-50
13,1315,1315C1020,Halland,Hylte,Hyltebruk norra,65+,80-90,80-90
07,0781,0781A0040,Kronoberg,Ljungby,Angelstad-Bolmen,18-64,80-90,60-70
07,0781,0781A0040,Kronoberg,Ljungby,Angelstad-Bolmen,65+,90-100,90-100
08,0861,0861B2010,Kalmar,Mönsterås,Ålem stationssamhälle,18-64,70-80,60-70
08,0861,0861B2010,Kalmar,Mönsterås,Ålem stationssamhälle,65+,90-100,90-100
13,1382,1382C1160,Halland,Falkenberg,Vinberg-Ljungby,18-64,70-80,50-60
13,1382,1382C1160,Halland,Falkenberg,Vinberg-Ljungby,65+,80-90,80-90
13,1315,1315B2010,Halland,Hylte,Torup,18-64,60-70,50-60
13,1315,1315B2010,Halland,Hylte,Torup,65+,90-100,80-90
13,1382,1382B2010,Halland,Falkenberg,Glommen,18-64,80-90,70-80
13,1382,1382B2010,Halland,Falkenberg,Glommen,65+,90-100,90-100
07,0764,0764A0040,Kronoberg,Alvesta,Hjortsberga,18-64,70-80,50-60
07,0764,0764A0040,Kronoberg,Alvesta,Hjortsberga,65+,90-100,90-100
08,0861,0861B3010,Kalmar,Mönsterås,Timmernabben,18-64,80-90,60-70
08,0861,0861B3010,Kalmar,Mönsterås,Timmernabben,65+,90-100,90-100
06,0683,0683B2010,Jönköping,Värnamo,Rydaholm,18-64,70-80,50-60
06,0683,0683B2010,Jönköping,Värnamo,Rydaholm,65+,90-100,90-100
07,0780,0780A0050,Kronoberg,Växjö,Stadsnära landsbygd,18-64,80-90,50-60
07,0780,0780A0050,Kronoberg,Växjö,Stadsnära landsbygd,65+,90-100,90-100
08,0861,0861B2020,Kalmar,Mönsterås,Blomstermåla,18-64,60-70,50-60
08,0861,0861B2020,Kalmar,Mönsterås,Blomstermåla,65+,90-100,90-100
07,0780,0780B2010,Kronoberg,Växjö,Rottne,18-64,70-80,40-50
07,0780,0780B2010,Kronoberg,Växjö,Rottne,65+,90-100,90-100
01,0182,0182C1370,Stockholm,Nacka,Kvarnholmen-Henriksdal,18-64,80-90,70-80
01,0182,0182C1370,Stockholm,Nacka,Kvarnholmen-Henriksdal,65+,90-100,90-100
01,0180,0180C3730,Stockholm,Stockholm,Stora Essingen,18-64,80-90,60-70
01,0180,0180C3730,Stockholm,Stockholm,Stora Essingen,65+,90-100,80-90
01,0180,0180C3750,Stockholm,Stockholm,Östra Katarina,18-64,80-90,60-70
01,0180,0180C3750,Stockholm,Stockholm,Östra Katarina,65+,80-90,80-90
07,0764,0764B2020,Kronoberg,Alvesta,Moheda-Torpsbruk,18-64,70-80,50-60
07,0764,0764B2020,Kronoberg,Alvesta,Moheda-Torpsbruk,65+,90-100,90-100
07,0764,0764B2010,Kronoberg,Alvesta,Moheda-Torpsbruk,18-64,80-90,60-70
07,0764,0764B2010,Kronoberg,Alvesta,Moheda-Torpsbruk,65+,90-100,90-100
08,0861,0861C1020,Kalmar,Mönsterås,Mellersta Mönsterås samhälle,18-64,70-80,50-60
08,0861,0861C1020,Kalmar,Mönsterås,Mellersta Mönsterås samhälle,65+,90-100,90-100
08,0861,0861C1030,Kalmar,Mönsterås,Mönsterås centrala,18-64,70-80,50-60
08,0861,0861C1030,Kalmar,Mönsterås,Mönsterås centrala,65+,90-100,90-100
07,0781,0781A0050,Kronoberg,Ljungby,Vittaryd,18-64,70-80,50-60
07,0781,0781A0050,Kronoberg,Ljungby,Vittaryd,65+,90-100,90-100
08,0885,0885A0030,Kalmar,Borgholm,Borgholm norra kommundelen,18-64,80-90,60-70
08,0885,0885A0030,Kalmar,Borgholm,Borgholm norra kommundelen,65+,90-100,90-100
13,1382,1382A0040,Halland,Falkenberg,Vinberg-Ljungby,18-64,70-80,60-70
13,1382,1382A0040,Halland,Falkenberg,Vinberg-Ljungby,65+,90-100,90-100
08,0861,0861C1040,Kalmar,Mönsterås,Norra-västra Mönsterås samhälle,18-64,70-80,50-60
08,0861,0861C1040,Kalmar,Mönsterås,Norra-västra Mönsterås samhälle,65+,90-100,90-100
07,0780,0780B5010,Kronoberg,Växjö,Braås,18-64,60-70,40-50
07,0780,0780B5010,Kronoberg,Växjö,Braås,65+,90-100,90-100
13,1383,1383B2010,Halland,Varberg,Tvååker,18-64,70-80,60-70
13,1383,1383B2010,Halland,Varberg,Tvååker,65+,90-100,80-90
13,1382,1382A0050,Halland,Falkenberg,Vessigebro-Årstad,18-64,70-80,60-70
13,1382,1382A0050,Halland,Falkenberg,Vessigebro-Årstad,65+,90-100,90-100
19,1980,1980C1320,Västmanland,Västerås,Kopparlunden-Östermalm,18-64,80-90,50-60
19,1980,1980C1320,Västmanland,Västerås,Kopparlunden-Östermalm,65+,90-100,90-100
19,1980,1980C1360,Västmanland,Västerås,Herrgärdet-Kyrkbacken,18-64,80-90,60-70
19,1980,1980C1360,Västmanland,Västerås,Herrgärdet-Kyrkbacken,65+,90-100,90-100
13,1383,1383B2020,Halland,Varberg,Tvååker,18-64,80-90,60-70
13,1383,1383B2020,Halland,Varberg,Tvååker,65+,90-100,90-100
07,0780,0780A0070,Kronoberg,Växjö,Växjö landsbygd,18-64,80-90,50-60
07,0780,0780A0070,Kronoberg,Växjö,Växjö landsbygd,65+,90-100,90-100
08,0881,0881A0040,Kalmar,Nybro,Kråksmåla,18-64,70-80,60-70
08,0881,0881A0040,Kalmar,Nybro,Kråksmåla,65+,80-90,80-90
13,1315,1315A0030,Halland,Hylte,Unnaryd-Jälluntofta,18-64,70-80,50-60
13,1315,1315A0030,Halland,Hylte,Unnaryd-Jälluntofta,65+,90-100,90-100
01,0180,0180C2670,Stockholm,Stockholm,Hammarbyhöjden,18-64,80-90,60-70
01,0180,0180C2670,Stockholm,Stockholm,Hammarbyhöjden,65+,80-90,80-90
01,0180,0180C2470,Stockholm,Stockholm,Västberga,18-64,70-80,40-50
01,0180,0180C2470,Stockholm,Stockholm,Västberga,65+,70-80,70-80
01,0180,0180C2720,Stockholm,Stockholm,Midsommarkransen,18-64,70-80,50-60
01,0180,0180C2720,Stockholm,Stockholm,Midsommarkransen,65+,80-90,70-80
01,0180,0180C2640,Stockholm,Stockholm,Hägersten,18-64,80-90,70-80
01,0180,0180C2640,Stockholm,Stockholm,Hägersten,65+,90-100,90-100
17,1762,1762C1010,Värmland,Munkfors,Munkfors centrala områden,18-64,70-80,60-70
17,1762,1762C1010,Värmland,Munkfors,Munkfors centrala områden,65+,90-100,80-90
13,1383,1383C1010,Halland,Varberg,Södra Näs-Träslövsläge-Gamla Köpstad,18-64,80-90,70-80
13,1383,1383C1010,Halland,Varberg,Södra Näs-Träslövsläge-Gamla Köpstad,65+,90-100,90-100
13,1383,1383C1020,Halland,Varberg,Södra Näs-Träslövsläge-Gamla Köpstad,18-64,80-90,70-80
13,1383,1383C1020,Halland,Varberg,Södra Näs-Träslövsläge-Gamla Köpstad,65+,90-100,90-100
06,0683,0683A0010,Jönköping,Värnamo,Värnamo sydöstra,18-64,70-80,60-70
06,0683,0683A0010,Jönköping,Värnamo,Värnamo sydöstra,65+,90-100,90-100
13,1383,1383A0010,Halland,Varberg,Tvååkers omland,18-64,80-90,60-70
13,1383,1383A0010,Halland,Varberg,Tvååkers omland,65+,90-100,90-100
01,0180,0180C3880,Stockholm,Stockholm,Storkyrkan,18-64,70-80,60-70
01,0180,0180C3880,Stockholm,Stockholm,Storkyrkan,65+,90-100,80-90
01,0180,0180C3870,Stockholm,Stockholm,Stora Essingen,18-64,80-90,60-70
01,0180,0180C3870,Stockholm,Stockholm,Stora Essingen,65+,90-100,90-100
01,0180,0180C3970,Stockholm,Stockholm,Kungsholm,18-64,80-90,60-70
01,0180,0180C3970,Stockholm,Stockholm,Kungsholm,65+,90-100,80-90
01,0180,0180C3940,Stockholm,Stockholm,Storkyrkan,18-64,70-80,60-70
01,0180,0180C3940,Stockholm,Stockholm,Storkyrkan,65+,90-100,80-90
01,0180,0180C3990,Stockholm,Stockholm,Kungsholm,18-64,80-90,60-70
01,0180,0180C3990,Stockholm,Stockholm,Kungsholm,65+,90-100,80-90
13,1383,1383C1030,Halland,Varberg,Södra Näs-Träslövsläge-Gamla Köpstad,18-64,80-90,70-80
13,1383,1383C1030,Halland,Varberg,Södra Näs-Träslövsläge-Gamla Köpstad,65+,90-100,90-100
13,1315,1315A0020,Halland,Hylte,Drängsered-Kinnared-Brännögård,18-64,70-80,50-60
13,1315,1315A0020,Halland,Hylte,Drängsered-Kinnared-Brännögård,65+,80-90,80-90
13,1315,1315A0040,Halland,Hylte,Långaryd-Landeryd,18-64,70-80,60-70
13,1315,1315A0040,Halland,Hylte,Långaryd-Landeryd,65+,90-100,90-100
13,1383,1383C1060,Halland,Varberg,Sörse,18-64,60-70,50-60
13,1383,1383C1060,Halland,Varberg,Sörse,65+,90-100,80-90
06,0683,0683A0020,Jönköping,Värnamo,Värnamo västra,18-64,80-90,70-80
06,0683,0683A0020,Jönköping,Värnamo,Värnamo västra,65+,90-100,90-100
13,1383,1383C1040,Halland,Varberg,Breared-Mariedal-Apelviken,18-64,80-90,70-80
13,1383,1383C1040,Halland,Varberg,Breared-Mariedal-Apelviken,65+,90-100,90-100
13,1383,1383C1080,Halland,Varberg,Varberg söder,18-64,80-90,70-80
13,1383,1383C1080,Halland,Varberg,Varberg söder,65+,90-100,90-100
13,1383,1383C1050,Halland,Varberg,Breared-Mariedal-Apelviken,18-64,80-90,60-70
13,1383,1383C1050,Halland,Varberg,Breared-Mariedal-Apelviken,65+,90-100,90-100
13,1383,1383C1090,Halland,Varberg,Breared-Mariedal-Apelviken,18-64,80-90,60-70
13,1383,1383C1090,Halland,Varberg,Breared-Mariedal-Apelviken,65+,90-100,90-100
07,0760,0760A0010,Kronoberg,Uppvidinge,Uppvidinge omland,18-64,70-80,50-60
07,0760,0760A0010,Kronoberg,Uppvidinge,Uppvidinge omland,65+,90-100,80-90
06,0683,0683B5010,Jönköping,Värnamo,Bor,18-64,70-80,60-70
06,0683,0683B5010,Jönköping,Värnamo,Bor,65+,90-100,90-100
13,1383,1383C1140,Halland,Varberg,Träslöv,18-64,90-100,80-90
13,1383,1383C1140,Halland,Varberg,Träslöv,65+,90-100,90-100
06,0683,0683C1010,Jönköping,Värnamo,Mossle,18-64,70-80,50-60
06,0683,0683C1010,Jönköping,Värnamo,Mossle,65+,90-100,80-90
13,1383,1383C1190,Halland,Varberg,Trönninge-Bläshammar,18-64,80-90,70-80
13,1383,1383C1190,Halland,Varberg,Trönninge-Bläshammar,65+,90-100,90-100
13,1382,1382A0060,Halland,Falkenberg,Ullared-Inland,18-64,70-80,50-60
13,1382,1382A0060,Halland,Falkenberg,Ullared-Inland,65+,90-100,90-100
13,1383,1383C1070,Halland,Varberg,Träslöv,18-64,80-90,70-80
13,1383,1383C1070,Halland,Varberg,Träslöv,65+,90-100,90-100
13,1383,1383C1110,Halland,Varberg,Varberg centrum,18-64,80-90,60-70
13,1383,1383C1110,Halland,Varberg,Varberg centrum,65+,90-100,90-100
13,1383,1383A0020,Halland,Varberg,Tvååkers omland,18-64,70-80,60-70
13,1383,1383A0020,Halland,Varberg,Tvååkers omland,65+,90-100,90-100
13,1383,1383C1100,Halland,Varberg,Öster-Karlberg,18-64,80-90,60-70
13,1383,1383C1100,Halland,Varberg,Öster-Karlberg,65+,90-100,90-100
13,1383,1383C1170,Halland,Varberg,Håsten-Holmagärde,18-64,70-80,50-60
13,1383,1383C1170,Halland,Varberg,Håsten-Holmagärde,65+,90-100,90-100
01,0180,0180C1060,Stockholm,Stockholm,Farsta,18-64,70-80,50-60
01,0180,0180C1060,Stockholm,Stockholm,Farsta,65+,90-100,80-90
18,1880,1880C1430,Örebro,Örebro,Rynninge-Grenadjärstaden,18-64,80-90,80-90
18,1880,1880C1430,Örebro,Örebro,Rynninge-Grenadjärstaden,65+,90-100,90-100
01,0126,0126C1380,Stockholm,Huddinge,Fullersta norra,18-64,80-90,70-80
01,0126,0126C1380,Stockholm,Huddinge,Fullersta norra,65+,90-100,90-100
13,1383,1383C1180,Halland,Varberg,Håsten-Holmagärde,18-64,70-80,50-60
13,1383,1383C1180,Halland,Varberg,Håsten-Holmagärde,65+,90-100,80-90
07,0764,0764A0050,Kronoberg,Alvesta,Slätthög,18-64,70-80,50-60
07,0764,0764A0050,Kronoberg,Alvesta,Slätthög,65+,90-100,90-100
06,0662,0662A0010,Jönköping,Gislaved,Smålandsstenar-Reftele omland,18-64,80-90,70-80
06,0662,0662A0010,Jönköping,Gislaved,Smålandsstenar-Reftele omland,65+,90-100,90-100
01,0180,0180C5400,Stockholm,Stockholm,Bromma kyrka,18-64,90-100,70-80
01,0180,0180C5400,Stockholm,Stockholm,Bromma kyrka,65+,90-100,90-100
01,0184,0184C1050,Stockholm,Solna,Ingenting,18-64,70-80,50-60
01,0184,0184C1050,Stockholm,Solna,Ingenting,65+,80-90,80-90
13,1383,1383C1150,Halland,Varberg,Varberg centrum,18-64,80-90,60-70
13,1383,1383C1150,Halland,Varberg,Varberg centrum,65+,90-100,90-100
06,0662,0662B2010,Jönköping,Gislaved,Smålandsstenar västra,18-64,70-80,50-60
06,0662,0662B2010,Jönköping,Gislaved,Smålandsstenar västra,65+,90-100,90-100
01,0136,0136C1290,Stockholm,Haninge,Handen centrala,18-64,60-70,50-60
01,0136,0136C1290,Stockholm,Haninge,Handen centrala,65+,90-100,80-90
07,0760,0760C1010,Kronoberg,Uppvidinge,Åseda,18-64,60-70,40-50
07,0760,0760C1010,Kronoberg,Uppvidinge,Åseda,65+,90-100,80-90
08,0861,0861A0020,Kalmar,Mönsterås,Mönsterås omland,18-64,70-80,60-70
08,0861,0861A0020,Kalmar,Mönsterås,Mönsterås omland,65+,90-100,90-100
13,1383,1383A0030,Halland,Varberg,Hunnestad-Gödestad,18-64,80-90,60-70
13,1383,1383A0030,Halland,Varberg,Hunnestad-Gödestad,65+,90-100,90-100
07,0780,0780A0060,Kronoberg,Växjö,Växjö landsbygd,18-64,70-80,50-60
07,0780,0780A0060,Kronoberg,Växjö,Växjö landsbygd,65+,90-100,90-100
06,0683,0683B4010,Jönköping,Värnamo,Forsheda,18-64,70-80,60-70
06,0683,0683B4010,Jönköping,Värnamo,Forsheda,65+,90-100,90-100
06,0683,0683C1020,Jönköping,Värnamo,Centrum-Apladalen,18-64,70-80,60-70
06,0683,0683C1020,Jönköping,Värnamo,Centrum-Apladalen,65+,90-100,90-100
18,1880,1880C1590,Örebro,Örebro,Vivalla,18-64,40-50,30-40
18,1880,1880C1590,Örebro,Örebro,Vivalla,65+,70-80,70-80
01,0182,0182C1030,Stockholm,Nacka,Älta-Erstavik,18-64,80-90,70-80
01,0182,0182C1030,Stockholm,Nacka,Älta-Erstavik,65+,90-100,90-100
07,0780,0780B4010,Kronoberg,Växjö,Lammhult,18-64,60-70,40-50
07,0780,0780B4010,Kronoberg,Växjö,Lammhult,65+,90-100,90-100
07,0760,0760C1020,Kronoberg,Uppvidinge,Åseda,18-64,70-80,50-60
07,0760,0760C1020,Kronoberg,Uppvidinge,Åseda,65+,90-100,90-100
14,1480,1480C2850,Västra Götaland,Göteborg,Rambergsstaden mellersta,18-64,70-80,40-50
