lan,kommun,deso,lannamn,kommunnamn,regso,age,minst_1_dos,2_doser
10,1081,1081B2010,Blekinge,Ronneby,Saxemara-Listerby-Johannishus,18-64,80-90,70-80
10,1081,1081B2010,Blekinge,Ronneby,Saxemara-Listerby-Johannishus,65+,90-100,90-100
12,1272,1272A0010,Skåne,Bromölla,Bromölla omland,18-64,70-80,60-70
12,1272,1272A0010,Skåne,Bromölla,Bromölla omland,65+,90-100,80-90
10,1080,1080C1240,Blekinge,Karlskrona,Hässlegården-Bastasjö-Torskors,18-64,90-100,80-90
10,1080,1080C1240,Blekinge,Karlskrona,Hässlegården-Bastasjö-Torskors,65+,90-100,90-100
10,1081,1081C1090,Blekinge,Ronneby,Kallinge,18-64,70-80,60-70
10,1081,1081C1090,Blekinge,Ronneby,Kallinge,65+,90-100,90-100
14,1490,1490C1470,Västra Götaland,Borås,Sjöbo-Johannelund,18-64,50-60,30-40
14,1490,1490C1470,Västra Götaland,Borås,Sjöbo-Johannelund,65+,80-90,80-90
14,1480,1480C3010,Västra Götaland,Göteborg,Torpa,18-64,80-90,60-70
14,1480,1480C3010,Västra Götaland,Göteborg,Torpa,65+,90-100,90-100
10,1081,1081C1080,Blekinge,Ronneby,Ekenäs-Sörby-Påtorp,18-64,80-90,70-80
10,1081,1081C1080,Blekinge,Ronneby,Ekenäs-Sörby-Påtorp,65+,90-100,90-100
12,1284,1284C1110,Skåne,Höganäs,Höganäs nordvästra-Strandbaden-Nyhamnsläge,18-64,70-80,60-70
12,1284,1284C1110,Skåne,Höganäs,Höganäs nordvästra-Strandbaden-Nyhamnsläge,65+,90-100,90-100
12,1283,1283A0040,Skåne,Helsingborg,Kattarp-Hasslarp-Utvälinge,18-64,70-80,60-70
12,1283,1283A0040,Skåne,Helsingborg,Kattarp-Hasslarp-Utvälinge,65+,80-90,80-90
12,1284,1284C1100,Skåne,Höganäs,Höganäs östra-Väsby-Ingelsträde,18-64,70-80,50-60
12,1284,1284C1100,Skåne,Höganäs,Höganäs östra-Väsby-Ingelsträde,65+,90-100,90-100
12,1276,1276A0030,Skåne,Klippan,Stidsvig-Östra Ljungby,18-64,60-70,50-60
12,1276,1276A0030,Skåne,Klippan,Stidsvig-Östra Ljungby,65+,80-90,80-90
14,1489,1489C1090,Västra Götaland,Alingsås,Brogården-Östlyckan,18-64,60-70,30-40
14,1489,1489C1090,Västra Götaland,Alingsås,Brogården-Östlyckan,65+,90-100,90-100
14,1489,1489C1110,Västra Götaland,Alingsås,Noltorp,18-64,60-70,40-50
14,1489,1489C1110,Västra Götaland,Alingsås,Noltorp,65+,90-100,80-90
10,1081,1081B3010,Blekinge,Ronneby,Bräkne-Hoby,18-64,80-90,60-70
10,1081,1081B3010,Blekinge,Ronneby,Bräkne-Hoby,65+,90-100,90-100
12,1292,1292C1010,Skåne,Ängelholm,Fridhem-Skörpinge-Kroneslätt,18-64,80-90,70-80
12,1292,1292C1010,Skåne,Ängelholm,Fridhem-Skörpinge-Kroneslätt,65+,90-100,90-100
14,1485,1485C1220,Västra Götaland,Uddevalla,Norra Dalaberg-Norra Hovhult,18-64,50-60,30-40
14,1485,1485C1220,Västra Götaland,Uddevalla,Norra Dalaberg-Norra Hovhult,65+,80-90,80-90
10,1080,1080A0030,Blekinge,Karlskrona,Ramdala-Senoren,18-64,80-90,70-80
10,1080,1080A0030,Blekinge,Karlskrona,Ramdala-Senoren,65+,90-100,90-100
12,1292,1292C1020,Skåne,Ängelholm,Kulltorp-Södra Utmarken-Epadalen,18-64,80-90,70-80
12,1292,1292C1020,Skåne,Ängelholm,Kulltorp-Södra Utmarken-Epadalen,65+,90-100,90-100
12,1284,1284B2010,Skåne,Höganäs,Jonstorp-Rekekroken-Svanshall,18-64,80-90,70-80
12,1284,1284B2010,Skåne,Höganäs,Jonstorp-Rekekroken-Svanshall,65+,90-100,90-100
12,1284,1284A0010,Skåne,Höganäs,Höganäs landsbygd,18-64,70-80,60-70
12,1284,1284A0010,Skåne,Höganäs,Höganäs landsbygd,65+,90-100,90-100
12,1256,1256A0010,Skåne,Östra Göinge,Östra Göinge landsbygd,18-64,70-80,60-70
12,1256,1256A0010,Skåne,Östra Göinge,Östra Göinge landsbygd,65+,90-100,90-100
12,1292,1292C1040,Skåne,Ängelholm,Ängavången-Nyhem-Skörpabäcken,18-64,80-90,60-70
12,1292,1292C1040,Skåne,Ängelholm,Ängavången-Nyhem-Skörpabäcken,65+,90-100,80-90
10,1081,1081C1110,Blekinge,Ronneby,Kallinge,18-64,70-80,60-70
10,1081,1081C1110,Blekinge,Ronneby,Kallinge,65+,90-100,90-100
12,1292,1292C1090,Skåne,Ängelholm,Ängelholm centrum,18-64,70-80,50-60
12,1292,1292C1090,Skåne,Ängelholm,Ängelholm centrum,65+,90-100,80-90
05,0581,0581C1320,Östergötland,Norrköping,Strömbacken-Berget-Södertull,18-64,70-80,40-50
05,0581,0581C1320,Östergötland,Norrköping,Strömbacken-Berget-Södertull,65+,90-100,90-100
12,1292,1292C1080,Skåne,Ängelholm,Stationsområdet-Sockerbruket,18-64,70-80,60-70
12,1292,1292C1080,Skåne,Ängelholm,Stationsområdet-Sockerbruket,65+,90-100,90-100
12,1292,1292A0020,Skåne,Ängelholm,Ängelholm omland syd,18-64,70-80,50-60
12,1292,1292A0020,Skåne,Ängelholm,Ängelholm omland syd,65+,80-90,80-90
10,1060,1060C1020,Blekinge,Olofström,Olofströms tätort södra-Nordenbergsskolan,18-64,70-80,60-70
10,1060,1060C1020,Blekinge,Olofström,Olofströms tätort södra-Nordenbergsskolan,65+,90-100,80-90
10,1081,1081C1100,Blekinge,Ronneby,Kallinge,18-64,70-80,60-70
10,1081,1081C1100,Blekinge,Ronneby,Kallinge,65+,90-100,80-90
12,1256,1256C1010,Skåne,Östra Göinge,Broby väst,18-64,60-70,50-60
12,1256,1256C1010,Skåne,Östra Göinge,Broby väst,65+,90-100,90-100
12,1292,1292C1060,Skåne,Ängelholm,Kronotorp-Gamla Kungsgården-Nya Kungsgården,18-64,70-80,60-70
12,1292,1292C1060,Skåne,Ängelholm,Kronotorp-Gamla Kungsgården-Nya Kungsgården,65+,90-100,90-100
05,0581,0581C1520,Östergötland,Norrköping,Eneby centrum-Vidablick-Sandbyhov,18-64,80-90,60-70
05,0581,0581C1520,Östergötland,Norrköping,Eneby centrum-Vidablick-Sandbyhov,65+,90-100,90-100
10,1080,1080B2010,Blekinge,Karlskrona,Rödeby tätort,18-64,90-100,70-80
10,1080,1080B2010,Blekinge,Karlskrona,Rödeby tätort,65+,90-100,90-100
